star index,lambda,beta,mu lambda,mu beta,pi,Hwmag
28,4.653776928556974,-0.09380131384282536,4.2666566776795894e-05,4.1052577862578114e-05,1.7630527661755624e-05,12.0
29,4.654317091566438,-0.09696865554313086,3.64104083815137e-05,9.213532844341605e-06,4.8825700612268824e-05,12.0
30,4.642990023928667,-0.09395309934889598,1.7623271363228184e-05,4.003745151827629e-05,7.182512491547222e-06,12.0
31,4.658094556123322,-0.10464397607093083,3.6760476981718466e-05,3.517325942210347e-05,2.536737672848273e-05,12.0
32,4.645628749905041,-0.09805054359231785,2.2332646398017874e-05,1.0628882389312978e-05,8.04923981468147e-06,12.0
33,4.657251219498695,-0.09513697443991154,1.353970135494032e-05,3.127099255379724e-05,3.164779236396591e-05,12.0
34,4.644960143529808,-0.09452794015637833,2.9219421932273387e-05,5.5522552324342225e-06,1.5039817290654073e-05,12.0
35,4.657612196340034,-0.09462467724293022,1.1154297756829745e-05,1.9676311986012887e-05,2.2919690769166468e-05,12.0
36,4.654916496640654,-0.08972305778390478,4.372137065774779e-06,2.3331127717356015e-06,2.207667582341651e-05,12.0
37,4.642940425683264,-0.10201496219811695,5.311086285502048e-06,4.425583144171868e-06,3.126577946279348e-05,12.0
38,4.644253822782416,-0.09484011106222434,4.8307395036143286e-05,7.023395212103873e-06,3.794882057408312e-05,12.0
39,4.652757776169966,-0.10173847934057606,4.749241968919585e-05,3.683508022341569e-05,1.8971123067814256e-05,12.0
40,4.658050837206833,-0.10288802487227518,4.168593417271591e-05,4.212260407325049e-05,5.800195289188159e-06,12.0
41,4.6585200039799775,-0.09105797170540049,4.573114470927039e-05,1.4076436022990358e-05,3.691992080541657e-05,12.0
42,4.656159329023014,-0.0986396347643245,1.7513729315399685e-06,7.097852322569043e-07,2.533047948516665e-05,12.0
43,4.6521279924531305,-0.10252496480667803,3.154732282666144e-05,2.6055424427167185e-06,2.3903966452975084e-05,12.0
44,4.651477494898594,-0.10115843859636776,2.3757591677032343e-06,4.5151450735037674e-05,4.262211118127142e-05,12.0
45,4.652826058663184,-0.10418917669262376,2.6266628699027208e-05,4.8149244790679036e-05,3.8352206761682375e-05,12.0
46,4.654572878008419,-0.10401126324064995,2.89170632911915e-05,1.1633673855297456e-05,4.932581212178401e-05,12.0
47,4.642783091025752,-0.10082422253945551,4.399832238293663e-05,6.0051313144303954e-06,1.500281732668818e-05,12.0
48,4.647924080412233,-0.08935938788139888,3.481131510347876e-05,4.669676669710331e-05,9.59982027318666e-06,12.0
49,4.644128519997285,-0.09872735543262376,3.8306342679024034e-05,3.0955087078155224e-05,4.675588726697968e-05,12.0
50,4.654996494445853,-0.10327495242413909,1.57548090829854e-05,1.0185600934346174e-05,1.3385584634717646e-05,12.0
51,4.65419031251997,-0.0969803433895482,3.782903287746406e-05,7.966344075581778e-07,4.543825370044382e-05,12.0
52,4.645416259417916,-0.09177776166921299,4.22187587829966e-05,2.108526167804925e-06,2.7118074685897227e-05,12.0
53,4.659558444336142,-0.10457272996718778,2.4858692683555278e-05,2.1264580632899384e-05,1.9075367657509962e-05,12.0
54,4.6459751533217535,-0.10156149684215576,1.3297950570809591e-05,1.0875837859823356e-05,1.4696274846910852e-05,12.0
55,4.658284520904279,-0.08818716320977145,1.299085070711687e-05,1.3761727985963479e-06,1.330626951189376e-05,12.0
56,4.6574971199300155,-0.10163693547462688,3.309934415518221e-05,4.6423031836431875e-06,1.762072373915345e-05,12.0
57,4.645542113033053,-0.09397396691725071,1.851293974141404e-05,3.869163381362637e-05,2.5909259631691857e-05,12.0
58,4.649618233558707,-0.10432605189744402,4.193106902290125e-05,1.9532286616982866e-06,2.494562663012076e-05,12.0
59,4.659781152380798,-0.09094363320550189,1.777621658202992e-05,4.649189213515538e-05,1.291167466928283e-05,12.0
60,4.652711398371156,-0.09468935702322939,3.6047833726067265e-05,1.442905870594548e-05,1.9883218915673498e-05,12.0
61,4.6482397191692195,-0.0887139008328694,3.6896783181884146e-05,1.6995077763972584e-05,3.869056940068293e-05,12.0
62,4.65334116625803,-0.10040406176818446,2.4954877326146642e-05,4.8807358483250135e-06,1.0570661416881755e-05,12.0
63,4.643932852905895,-0.10329498986654288,3.077449455600026e-05,4.149460877473817e-05,4.173348824773936e-05,12.0
64,4.64640609834879,-0.08820895538075146,1.6749048011991574e-05,3.456798123025956e-05,2.977627376955896e-05,12.0
65,4.6508779074631725,-0.09270342379533583,4.4543049377322804e-05,3.479747812177195e-05,2.545591268236429e-05,12.0
66,4.657581359691594,-0.09171857077811803,1.872103561047544e-05,4.894981057696819e-05,2.0170726416395018e-05,12.0
67,4.643281354707423,-0.0879328357913482,4.713252376075853e-05,2.67672738875753e-05,3.7518606327750996e-05,12.0
68,4.6547033093939145,-0.10298374876724604,3.978332105110107e-05,3.139627740662082e-05,4.826870967830933e-05,12.0
69,4.650929695597196,-0.0998656714822297,3.848508731481237e-05,2.7647710101776115e-05,4.3627715811551615e-05,12.0
70,4.643336630717964,-0.09279076566579392,4.548587475390347e-05,9.117649155221798e-06,4.538182081428499e-06,12.0
71,4.651129514045929,-0.09333093938026123,3.156757697788003e-05,2.6483029531429724e-05,1.694211759125181e-05,12.0
72,4.654956300404836,-0.08750610126357532,2.5315693780653892e-05,1.9774007548290685e-05,4.84431741410916e-05,12.0
73,4.645680952140401,-0.09490943136251997,4.1978123503747536e-05,3.952298264444766e-05,3.7390561253930714e-05,12.0
74,4.6544506071546055,-0.09687219146634007,4.829223077191373e-05,7.877956632028061e-08,2.1176819879326403e-05,12.0
75,4.6504337576820705,-0.09220755244463258,1.4372731302515146e-05,9.890400914442571e-06,2.2394915852398497e-05,12.0
76,4.653661428428773,-0.0955012753238402,4.373878245263002e-05,2.3638460092526306e-05,1.0254938461785313e-05,12.0
77,4.6537650121115,-0.09792389632494745,1.2500520748603474e-06,2.0052248197639477e-05,5.537771348158766e-06,12.0
78,4.653717374519057,-0.08898184402233934,3.6638183361738984e-05,4.786956133057311e-05,7.15028231921761e-06,12.0
79,4.6571305584418345,-0.09141509670375834,1.2011555891050585e-05,2.367905670288867e-05,8.648678440595864e-06,12.0
80,4.647974405791441,-0.09557511184309402,1.9427145415732785e-05,1.945621988747568e-05,3.5556174732111046e-05,12.0
81,4.654374677386599,-0.10268014296060886,2.853157669142659e-05,3.888128814836637e-05,1.6102070026425664e-06,12.0
82,4.655590347964519,-0.10434474249444071,2.1404441217880588e-05,1.9108201645826702e-05,1.0151140814207649e-06,12.0
83,4.64388743621558,-0.09304041027257873,1.3358453404083787e-05,2.5955351345645606e-05,8.13894379683055e-06,12.0
84,4.653305422286877,-0.08843022553865518,3.763145303474392e-05,1.8335299814626305e-05,4.789453571575216e-05,12.0
85,4.648686397026536,-0.09985585496063303,2.1108380791627043e-05,4.925130636366349e-05,1.9351209700260596e-05,12.0
86,4.6476533941698195,-0.09525264554775778,3.181594139810038e-05,3.7934408275965905e-05,3.5474711156707354e-05,12.0
87,4.654297754784445,-0.09753453274647197,2.1913082576556465e-05,4.907384839022387e-05,2.471974254521852e-05,12.0
88,4.655830431002804,-0.09845038782002014,5.659912066815321e-07,1.9573713884799284e-05,2.6094253284958587e-05,12.0
89,4.649534794976328,-0.10105005413356921,8.065680515034513e-06,2.48294734941793e-06,3.530818637186639e-05,12.0
90,4.651774019970004,-0.09050354192535023,4.317618271887245e-05,3.762817772120642e-05,3.9712577441602166e-05,12.0
91,4.658303242376144,-0.08879766741819736,4.1006533761873134e-05,4.479551456823465e-05,1.7407504316551842e-05,12.0
92,4.659931786352895,-0.08916121193982703,4.0643272047933155e-05,4.246656273751045e-05,3.7321015911484286e-05,12.0
93,4.652584775491433,-0.0956851866914212,4.655870676639248e-05,1.4342468349389382e-05,3.224171300260108e-05,12.0
94,4.658843891940723,-0.10008022567496465,7.83818724274687e-06,1.552856413749626e-05,2.209520376401391e-05,12.0
95,4.651423916998184,-0.10064089641370211,1.2094166255508104e-05,7.325393481740289e-06,2.3539305652730708e-05,12.0
96,4.645057586860095,-0.09856367935035965,8.6179329923173e-06,3.165250653137286e-05,3.100693221670251e-05,12.0
97,4.646589774620257,-0.08731357561541628,1.4214895231012586e-05,4.5336536498602076e-05,1.4985525229942754e-05,12.0
98,4.6523611296353575,-0.09443251085520589,2.8917619956842913e-05,1.692996659525885e-05,3.9542618908511106e-05,12.0
99,4.653429444682778,-0.09494456460914172,2.40980937472302e-05,1.4163783384739947e-05,2.039549154124362e-05,12.0
100,4.655373969684524,-0.09234840383278907,4.9747367353997905e-05,3.639421654542893e-05,4.9595177541764556e-05,12.0
101,4.6483033075664295,-0.09988368619173757,4.985736995003708e-05,2.1289223104326577e-05,2.8999923237678868e-05,12.0
102,4.657710103738209,-0.1025245194618878,5.956055999498295e-06,2.3342585249195163e-05,1.0016699571745602e-05,12.0
103,4.643665710328787,-0.0923062554715863,2.7534268976388123e-05,2.2729492451453343e-05,3.1935164553041005e-05,12.0
104,4.647905591110584,-0.0978100955088961,1.6749199291256934e-05,3.220703655559159e-05,2.2923152802599513e-05,12.0
105,4.6526539198174435,-0.09514606781085852,2.8424831806193214e-05,2.269181821409766e-06,3.900875699811814e-05,12.0
106,4.658403917265648,-0.10348961829222111,3.712688626867656e-05,2.855312715616108e-05,3.703771431644265e-05,12.0
107,4.642872909507929,-0.10409181709578225,2.7242874699547406e-05,2.7705097477348137e-05,5.25807906852796e-06,12.0
108,4.656100494195631,-0.10299424530270133,4.4625149424134145e-05,3.982430824530943e-05,3.6187910120891436e-05,12.0
109,4.657489821397442,-0.09962301395635327,3.0578781418422906e-05,1.1141287000636047e-06,3.753375779002547e-05,12.0
110,4.64575268122139,-0.10382720816082923,3.8023709289363786e-05,3.050045572068988e-06,3.2161601502140664e-05,12.0
111,4.659291934412348,-0.0952973836214291,2.7399321398916117e-05,3.802407058305622e-05,3.7166042159565996e-05,12.0
112,4.651289422970426,-0.10379821075753971,4.92283984540725e-05,3.6413171684649575e-05,2.3896340881353746e-05,12.0
113,4.654207295207797,-0.1003305393728366,1.1639108654289582e-05,1.944983211671847e-06,1.9849132654322473e-05,12.0
114,4.6524379833183565,-0.10292873372687328,9.255697462469432e-06,1.9432782315231974e-05,1.5098298266558174e-08,12.0
115,4.656679686696419,-0.1018893707020543,4.532849850664753e-05,2.8506130431456977e-05,1.5538088313964495e-05,12.0
116,4.643835817664663,-0.09373887573588985,2.947160434054591e-06,1.6670054117319378e-05,4.989237304789374e-05,12.0
117,4.657013998855406,-0.09234616826942865,2.9201097521273653e-05,3.0935853959845845e-05,3.723930565219688e-05,12.0
118,4.657842551774143,-0.10298906192969522,4.4777906571913136e-05,4.8804044127580485e-05,2.91445936624043e-05,12.0
119,4.648352623720964,-0.10378921736240405,1.7206171304476844e-05,1.791274129054199e-06,3.387833703411738e-05,12.0
120,4.652943424496154,-0.09197870756300752,4.347417790489879e-05,1.5758615069990623e-05,3.74972951934064e-05,12.0
121,4.655458106924365,-0.0949842937589897,3.1274899097724854e-06,4.324204137391093e-05,2.7521619441338277e-05,12.0
122,4.650683673087861,-0.08986712003534515,5.801902340949822e-06,1.704047370442613e-06,3.32715022300275e-05,12.0
123,4.655047773660273,-0.09548424587505919,2.7912522074633914e-05,3.8590894217047755e-05,4.126095389979865e-05,12.0
124,4.6538702595513115,-0.09194777804615355,2.5445239450407403e-05,8.265026214953275e-06,3.999128656715772e-05,12.0
125,4.643421227908341,-0.10176909940508302,2.855150215954158e-05,1.8369892448552077e-05,4.4427871340702173e-05,12.0
126,4.647820205142354,-0.09614704341908054,9.44422693192354e-06,4.214198181790951e-05,1.803969227620267e-05,12.0
127,4.655067517053583,-0.09189981048612754,2.248937156388159e-05,5.746005646958996e-06,4.8232997069524284e-05,12.0
128,4.6432277204559265,-0.09032976451598107,7.884766453909259e-06,2.1483252742324954e-05,2.2205572089798648e-05,12.0
129,4.649985659087957,-0.09445031167628987,3.38106841797668e-05,3.389181848453068e-05,3.303806949802091e-06,12.0
130,4.649046826844168,-0.10140163805923756,4.84022099910131e-05,2.70165785952573e-05,4.948972607930632e-05,12.0
131,4.646253768004218,-0.09277631841149983,2.602360175183113e-05,1.648746276254583e-05,9.53479299235252e-06,12.0
132,4.653110361111615,-0.08922295878860406,2.4687392870293375e-05,2.585743398191491e-05,4.726956488164595e-05,12.0
133,4.647101773560971,-0.09856384892820097,4.411975270710605e-05,3.993628203782607e-06,1.8434741775036346e-06,12.0
134,4.65413222261334,-0.09631905791592858,4.533478245707847e-05,2.8481739195659307e-05,1.3906152582384451e-05,12.0
135,4.6541194620738855,-0.09696543100680328,3.140139742867828e-05,9.860450227469959e-06,3.1918073581754306e-06,12.0
136,4.658423720975371,-0.09003738680962943,7.5240852675042325e-06,5.335451937674129e-06,4.140643835233385e-05,12.0
137,4.6549212702028235,-0.09689326194416586,4.2425812394435734e-05,4.085513161538353e-05,4.117669560753099e-05,12.0
138,4.6584963711194005,-0.0906197719837189,1.0124912853746727e-07,3.1998580209656546e-05,4.718665624036095e-06,12.0
139,4.658157589036265,-0.09037031738862769,3.03208250605453e-05,2.1859711477514062e-05,3.436334233222364e-05,12.0
140,4.647751640077321,-0.09271008381034422,4.8094581659593914e-05,1.908392559125166e-06,1.9520986942542556e-05,12.0
141,4.6566175629784645,-0.10157035643517144,1.757622223038461e-05,4.085559572583069e-05,2.8575455734955236e-05,12.0
142,4.647159996581019,-0.09772935739771291,1.822876823418698e-05,2.546944397711703e-05,4.965026114132813e-05,12.0
143,4.64690887712151,-0.09908343837632755,4.452920795404631e-05,2.437673061358878e-05,3.230365698629219e-05,12.0
144,4.657685361169833,-0.10294792749754986,8.875203367906415e-06,7.097546958399099e-06,8.846779488324225e-06,12.0
145,4.643682882907872,-0.10058132991487029,4.581087813617352e-05,4.497146036857843e-05,3.431265927584862e-05,12.0
146,4.651565686597009,-0.09171734626929696,4.780271036710755e-05,1.4132612449563859e-05,3.6527341789819243e-05,12.0
147,4.644803534813614,-0.09806867484084475,2.6302390953615032e-05,3.1366471955287355e-05,1.0356545186925382e-05,12.0
148,4.649750860294228,-0.10179430416637011,1.810761927929212e-05,4.01984163331694e-05,1.1995790805229812e-05,12.0
149,4.648320357128585,-0.09422948257640981,9.499346777128287e-06,4.409070420571657e-05,1.6228643666689512e-05,12.0
150,4.64783627515346,-0.09914047256905559,2.2693682508040116e-05,2.2472832532697974e-05,2.024407455716097e-05,12.0
151,4.649812141343972,-0.10131671399595342,3.2537180511977185e-06,4.325860304598905e-05,4.174581140452765e-05,12.0
152,4.6555359778600485,-0.09625408377612021,4.815974781177917e-05,6.488040306315074e-06,2.566886149500941e-06,12.0
153,4.6587258307210515,-0.09525215048704286,2.706262292756604e-05,2.5823965525642853e-05,3.5846894236763335e-05,12.0
154,4.654128523593017,-0.09179730764953112,2.568421833462396e-05,3.9401215883923935e-05,3.3174530997059695e-05,12.0
155,4.657068586553851,-0.09122386260204293,6.3944485077405965e-06,2.223486371610782e-05,3.3583173517738765e-05,12.0
156,4.65503075363962,-0.09697718769494984,2.96586399673537e-05,4.4252215072234994e-05,1.1030961553265556e-05,12.0
157,4.647263547662569,-0.09941637265596233,7.3872554109941535e-06,2.9931716182952836e-05,2.9218717931738487e-05,12.0
158,4.659755899351588,-0.09548567556917066,1.185601380024401e-05,5.208973354579893e-06,2.9831659693120307e-05,12.0
159,4.6450768614538855,-0.10238828834694458,2.3240727252237592e-05,4.0580509467528705e-05,1.461134482616351e-05,12.0
160,4.647312202980172,-0.10381081018217274,4.822310802715736e-05,4.0017171033496366e-05,2.6328910030524806e-05,12.0
161,4.643906172537892,-0.08820990772770353,3.02266257780428e-05,3.54281315793772e-05,3.3336676366788105e-05,12.0
162,4.652278842669422,-0.09755645990858416,3.8171921802817364e-05,4.47323304907144e-06,1.3649530424857898e-05,12.0
163,4.6523768340762865,-0.09672002463615544,2.5163921946951602e-05,2.8221209159195704e-05,5.427924175414112e-06,12.0
164,4.645545395521662,-0.10462079971758564,3.329186485856866e-05,3.208604352531983e-05,9.792724095949113e-07,12.0
165,4.645953031819106,-0.09900734868669499,3.970707880460209e-05,3.722606684045657e-05,9.218140924525164e-06,12.0
166,4.6505336774861465,-0.09458834928268908,3.9647170271837484e-05,9.267920296344912e-06,1.02901388247098e-05,12.0
167,4.655981778250965,-0.09261092741352686,1.5225234318581088e-05,1.2292830979298454e-05,2.233480705527448e-05,12.0
168,4.643199029464349,-0.09384311823028067,3.937925699943015e-05,1.0683562410712288e-05,4.405087471359554e-05,12.0
169,4.6573178239556485,-0.10374795066326986,3.792116699838001e-05,3.894721202098752e-05,2.9754623437911593e-05,12.0
170,4.64653281922943,-0.09635005938404338,4.7539662957149186e-05,3.0210305541007544e-05,4.8052072329167585e-05,12.0
171,4.656812323614397,-0.09427915809542207,4.102085091719391e-05,2.355413848543188e-05,6.982679725401231e-06,12.0
172,4.652162249085978,-0.10123095326888124,1.5347998644357926e-05,4.328455812319715e-06,2.6244081677717176e-05,12.0
173,4.656043818202812,-0.08732098219872783,3.788865534072177e-05,3.5797441497712944e-05,3.8112556025217795e-05,12.0
174,4.64663445557469,-0.09400955199040523,4.5604191873940956e-05,3.294093749767827e-05,1.931300799951417e-05,12.0
175,4.655298280409245,-0.08935880361708601,2.118593429270962e-05,1.1313043553654002e-05,1.7395724554007577e-05,12.0
176,4.655256251303749,-0.10114239290836563,1.0558041148787568e-05,4.80813328316999e-05,2.2168751537676836e-06,12.0
177,4.644373599850398,-0.09069658257356353,3.304641570543779e-05,4.400249503891008e-05,4.641662571462599e-05,12.0
178,4.645747101295946,-0.09190267225331446,1.3481607390573242e-05,3.361184641698132e-05,2.6402873139869276e-06,12.0
179,4.655936127234198,-0.10110044388611542,3.263466612441785e-05,2.288121097143504e-05,3.299187444708298e-05,12.0
180,4.649648973370388,-0.10428610186690308,1.5177854093646082e-05,1.277513889280253e-05,4.990834507991387e-05,12.0
181,4.643380189004737,-0.09128809728224951,6.702783877518743e-06,1.6534645592407338e-05,3.5457748276647265e-05,12.0
182,4.652345828179746,-0.10414147055831982,1.418090003199255e-05,1.4887642629787324e-05,3.226052553929947e-05,12.0
183,4.651505866035393,-0.09675980418780082,6.775037124435557e-07,2.200195802766028e-05,2.3073298968665357e-05,12.0
184,4.645071823162993,-0.09489237400735442,7.185457933756484e-06,1.912981692352194e-05,6.357127149250202e-06,12.0
185,4.648826487956522,-0.10317561387497755,2.8279755276460424e-05,2.9946180857404537e-05,4.707391213636951e-05,12.0
186,4.647950315217426,-0.10269972239206118,2.021914988641006e-05,3.6842013685128765e-05,1.184902900277992e-05,12.0
187,4.659207441015674,-0.10023092000092339,3.206706870976029e-05,5.418674020698849e-06,2.89370452909325e-05,12.0
188,4.655969543811651,-0.09596524077945022,1.4165276322667664e-05,2.8433674803675832e-05,4.96067293372478e-05,12.0
189,4.64719501999418,-0.09178549896791008,2.696221183900057e-05,4.936512637638688e-05,1.3715077216715388e-05,12.0
190,4.657341218984982,-0.10417102429996714,4.698323829207267e-05,2.4819454798163723e-06,1.641742959135728e-05,12.0
191,4.646526216314942,-0.09983057363599568,4.40809505552989e-05,1.0538193812524604e-05,2.9106286049712677e-05,12.0
192,4.653053182061685,-0.10367881946091034,3.8238392010729476e-05,4.8323314179504534e-05,2.596061633136877e-05,12.0
193,4.646072862489985,-0.09944837568450238,2.8777291462559446e-05,4.820139128008453e-05,3.739690914324129e-05,12.0
194,4.647577797889837,-0.10224847211729823,3.661965147719044e-05,2.459310505624789e-05,1.6057323758001852e-05,12.0
195,4.656775366335232,-0.09931625150380353,3.8179753323010405e-05,3.832741813450666e-05,3.941830058240917e-05,12.0
196,4.646875313478709,-0.09615433847088882,4.453777274034986e-05,1.4165123900996141e-05,4.53511215485084e-06,12.0
197,4.643558553166409,-0.09368704501201554,2.4306543852898823e-05,3.6002369219538364e-05,4.651306948891591e-05,12.0
198,4.652634981717724,-0.09728847570139124,4.4134897526632904e-05,3.439978399152457e-05,2.8559647710369565e-06,12.0
199,4.647283865481845,-0.09413254443127025,1.1084912228500088e-05,4.974222353215555e-05,2.4444262583838194e-06,12.0
200,4.658251850310483,-0.08840983494637547,1.9241965070175298e-05,1.8197533552170716e-05,2.880798284747678e-05,12.0
201,4.646911637331519,-0.0874007171549986,3.225711872953592e-05,2.5765186066351937e-05,1.3332885485682039e-05,12.0
202,4.652716825686303,-0.09412087476672965,3.655783556885291e-05,3.6359718838049613e-05,3.661167017109206e-05,12.0
203,4.644092187331474,-0.09635058997239208,1.9541709682230054e-05,3.9627992753875687e-05,1.1253833299028627e-05,12.0
204,4.648125583904636,-0.0998249151057757,1.578801458161514e-05,4.688136847655593e-05,4.423252522133532e-05,12.0
205,4.659610006545454,-0.09861929950568149,2.2139677753429296e-05,2.616349420756936e-06,3.157679976096332e-05,12.0
206,4.650404898754832,-0.09832070993128048,4.372642723985746e-05,4.99678016944343e-05,3.396104187515176e-05,12.0
207,4.6556015265860715,-0.09265035871459353,4.023994762951135e-05,2.8616847366284394e-05,4.731723319056498e-05,12.0
208,4.645881149003654,-0.09343974639451585,2.407642707615226e-05,1.5927257112033468e-05,3.4626974833084396e-05,12.0
209,4.643383169075593,-0.08895923972243405,3.972179067532535e-05,7.6276221492710465e-06,4.4372027049465506e-05,12.0
210,4.6486095409967225,-0.092053598154183,2.263613448424862e-06,4.052151503851493e-05,3.763632306451028e-05,12.0
211,4.649689998923796,-0.09809710754003585,2.5255537767276156e-05,5.692615263220724e-06,4.9035342467577355e-05,12.0
212,4.651407924340026,-0.09390700981365821,2.8399215654822196e-05,8.404983781965786e-06,3.515933797074817e-05,12.0
213,4.659279884844443,-0.08741112470253709,2.1992042724275864e-05,2.2546736955063252e-05,4.9568168102358656e-05,12.0
214,4.65635332843303,-0.09291835656318202,3.397346470794135e-05,4.353598701820807e-05,1.5600141987730682e-05,12.0
215,4.648624067444371,-0.09884525308428829,9.52371110391408e-06,2.9868017608449684e-05,4.866085576584856e-07,12.0
216,4.653333580469087,-0.0996350087893091,2.0538561320319055e-05,7.468183065315731e-06,4.1518389383334744e-05,12.0
217,4.646145770247918,-0.10397147689032928,4.0375169075787264e-05,1.9654072589968207e-06,1.4833889850232779e-05,12.0
218,4.659952305054011,-0.10180755009274728,2.684314012532084e-05,3.551054955977895e-05,2.7936724176247758e-05,12.0
219,4.6517405895227695,-0.09142530196359136,2.521528344108426e-06,1.596593575055964e-05,8.868190248006875e-06,12.0
220,4.659736474241127,-0.08906937928751513,1.0357148146754408e-05,2.7367127950233722e-05,3.666412145331967e-05,12.0
221,4.652012818492214,-0.09166408192107899,3.8502087781318826e-05,2.8249162745151936e-06,5.6471221073561735e-06,12.0
222,4.646457036121939,-0.10096210818154942,5.635778285656601e-06,1.4609912813018555e-05,2.1767500532677277e-05,12.0
223,4.65016730258261,-0.101841439133936,2.7842453191425395e-05,3.134735529796603e-05,1.365820549213609e-05,12.0
224,4.659749992515949,-0.09308174567802119,4.736708293635882e-05,2.4336095411852998e-05,3.786983666621361e-05,12.0
225,4.653721747977613,-0.08899039682667072,1.5522876720393052e-05,2.023678934979259e-05,4.5993070159836896e-05,12.0
226,4.64694808902421,-0.09735261719985054,1.3041727220718547e-05,2.2772133701794376e-06,4.780476141609864e-05,12.0
227,4.642729825544838,-0.09508095991065639,2.6988918015621955e-05,4.315371398738699e-05,4.939673218823802e-05,12.0
228,4.655084185497952,-0.09602383358789367,4.512979121906427e-05,9.94950716522875e-06,3.182308438356677e-05,12.0
229,4.648021282507363,-0.08855733017040511,3.150421792394287e-06,2.9881674787488928e-05,1.3457508990415896e-05,12.0
230,4.659106612760111,-0.10159291859322149,3.632133730393889e-05,4.0805028802162194e-07,1.2123192171111619e-05,12.0
231,4.649028185062767,-0.09361154046091857,3.933238209444642e-05,2.2623868077825338e-05,6.794945608294923e-06,12.0
232,4.648391711197983,-0.10257458347411438,4.266106928560312e-05,2.1524325320075355e-05,2.3001654001834495e-05,12.0
233,4.655081831886536,-0.09362769299609071,2.5063651651462365e-05,2.0147930839478324e-05,2.9687929093129873e-05,12.0
234,4.643299085862766,-0.09211216980725796,1.3933582366190323e-05,1.5031879658081378e-05,3.161850983480985e-06,12.0
235,4.659358661521665,-0.09707089561411006,1.7180235963967506e-06,4.956265342250115e-05,3.98169299960057e-05,12.0
236,4.656817302811577,-0.10244593064753506,1.0988105112701314e-05,3.747572127502941e-05,2.8146849544026006e-05,12.0
237,4.655367816771052,-0.09249185459417686,3.356892685001117e-05,4.482513183479801e-05,4.347846719743878e-05,12.0
